代码,名称,PE_TTM,总市值_亿,营业收入,净利润,营收同比%,净利润同比%,ROE%,报告期,币种
00059,天誉置业,-0.02,8446.33,1632355000.0,-3489387000.0,-21.1418514784,0.0539917829,304.940777351067,2023-12-31,HKD
00060,香港食品投资,-6.22,1.21,172372647.21,-17368583.43,-11.8284594869,2.743902439,-3.554441730177,2025-03-31,HKD
00061,绿领控股,0.07,3999.58,139038977.14,545305526.7,28.0311725469,-61.7283676704,-27.268594538332,2025-12-31,HKD
00062,载通,12.77,50.84,7625638074.5,359501430.84,2.7676473549,112.5254963104,2.349422445897,2025-12-31,HKD
00063,中亚烯谷集团,33.04,3.37,141434316.58,9204715.02,16.2674487674,297.3099415205,2.052648593449,2025-12-31,HKD
00064,结好控股,34.63,20.52,334296090.33,37996602.42,13.3546951714,14.9630043278,0.664525124945,2025-03-31,HKD
00065,弘海高新资源,-1.06,0.54,145916997.44,-46033510.52,-10.7121933965,-0.3900094548,-40.180855634788,2025-12-31,HKD
00066,港铁公司,13.27,1947.12,50097097300.0,13256559940.0,-7.5752778657,-6.9426832361,7.768896887571,2025-12-31,HKD
00068,MANYCORE TECH,-57.1,270.5,819994000.0,-427905000.0,8.6329372177,16.6643945532,10.641897374163,2025-12-31,HKD
00069,香格里拉（亚洲）,16.68,145.8,15702845273.6,789285038.4,2.2292020156,-30.4200462243,2.137295030289,2025-12-31,HKD
00070,金粤控股,-1.91,0.95,117021424.0,-90134402.15,1.2378600563,-95.7749826681,-9.723576995821,2025-06-30,HKD
00071,美丽华酒店,10.87,73.66,2331566688.68,611898130.86,-9.6917042398,-9.2550200454,3.216907603255,2025-12-31,HKD
00072,超媒体控股,-3.05,1.23,361155000.0,-36388000.0,0.0781438345,-112.4722643933,-19.653784871317,2025-12-31,HKD
00073,亚洲果业,-1.5,3144.01,75420000.0,-24006000.0,-55.2761882172,6.2558575445,-19.256484404141,2025-06-30,HKD
00075,渝太地产,-0.37,1.29,4266866376.42,-310513487.7,11.3815686632,-8594.6130500759,-40.331038657544,2025-12-31,HKD
00076,谊砾控股,-0.54,0.61,931316000.0,-102775113.6,-69.2633884041,-136.2810778621,-3.416870065699,2025-12-31,HKD
00077,进智公共交通,177.33,1.18,383001212.07,7748080.68,5.421325625,170.2476572959,22.18669485367,2025-03-31,HKD
00078,REGAL INT'L,-0.37,4.49,2491532370.0,-1084676898.0,51.0844561288,53.7724228193,-20.476750728938,2025-12-31,HKD
00079,世纪建业,-1.89,2673.83,41508378.32,-12779659.78,-4.3420340535,54.4843337837,-6.604830502936,2025-12-31,HKD
00080,ＣＡＩ控股,-20.29,6.43,20582.57736,-28604816.62684,-97.0012632909,-9.2871891953,-19.78161171553,2025-12-31,HKD
00081,中国海外宏洋集团,27.75,93.61,36874435000.0,304658000.0,-19.6552292599,-68.0668728054,0.966904058945,2025-12-31,HKD
00082,疯狂体育,-79.03,3.85,285372359.0,-4396874.96,-23.1997705352,66.9248539204,-0.697352267469,2025-12-31,HKD
00083,信和置业,29.46,1099.53,7462486850.0,3665127050.0,-6.6400456361,-8.7005906406,2.398064364071,2025-06-30,HKD
00084,宝光实业,-0.69,6325.21,567738858.45,-98741887.17,-19.8480641929,-122.6141337543,-11.759365955438,2025-03-31,HKD
00085,中电华大科技,10.18,23.95,1970071851.3,212578246.32,-7.1443228221,-59.9394724435,9.409555923062,2025-12-31,HKD
00086,新鸿基公司,5.04,80.37,4943864992.0,1438919782.0,28.4189287474,321.7897802489,7.327006349214,2025-12-31,HKD
00087,太古股份公司Ｂ,29.7,872.66,81711603740.0,2653660360.0,10.3673339921,-32.0064799815,1.134632354787,2025-12-31,HKD
00088,TAI CHEUNG HOLD,43.11,22.42,33221880.0,57953724.0,-70.4190632703,-16.1548731642,0.981717849913,2025-03-31,HKD
00089,大生地产,-2.37,6.1,425691198.88,-232675794.54,-2.1285255651,22.7352073136,-3.171773265497,2025-12-31,HKD
00090,普星能量,9.94,4.22,368233000.0,38336000.0,-31.0494818876,-36.0021368235,4.298863889308,2025-12-31,HKD
00092,冠军科技集团,-3.94,1.99,52264766.45,-40331900.7,-72.5274672598,-256.0869565217,-41.738982714931,2025-06-30,HKD
00093,零在科技金融,57.35,12.0,324675977.3,18906201.04,37.3151603822,-22.6888273315,1.891020588292,2025-12-31,HKD
00094,绿心集团,-1.83,1.84,38260399.2,-90636320.56,8.0061193269,27.9305936598,-16.873916457735,2025-12-31,HKD
00095,绿景中国地产,-0.12,11.52,1866035000.0,-8795089000.0,-49.7552025681,-70.0706361274,-63.959713424114,2025-12-31,HKD
00096,YUSEI,3.29,3.69,2161944000.0,101404000.0,6.7969471682,13.0063633223,10.149300936922,2025-12-31,HKD
00097,恒基发展,-6.87,4.6,1314185100.0,-60515740.0,-5.2117263844,46.4,-6.5143412737,2025-12-31,HKD
00098,兴发铝业,4.15,29.02,20700535000.0,632219000.0,9.7901307164,-23.4632272561,10.379361484877,2025-12-31,HKD
00099,王氏国际,-3.62,5.98,2285207115.74,-149098138.28,-5.0515372612,80.2888243554,-4.768508902859,2025-12-31,HKD
00100,MINIMAX-W,-10.0,1456.52,555542294.4,-13155221569.6,158.9457130688,-302.2923750854,108.577901151846,2025-12-31,HKD
00101,恒隆地产,21.45,387.34,8987039000.0,1631215320.0,-11.4926169721,-16.1170459824,1.356283512819,2025-12-31,HKD
00103,首佳科技,19.98,10.84,2189548891.98,48990652.8,1.135150921,71.3906531425,2.914973229701,2025-12-31,HKD
00104,ASIA COMM HOLD,8.36,1.79,654630685.59,22577035.95,0.562798854,-6.6292649416,5.519495901834,2025-03-31,HKD
00105,凯联国际酒店,-8.71,19.01,275933552.64,-517367105.73,2.3498766015,-248.803611858,-7.472898411857,2025-03-31,HKD
00106,朗诗绿色管理,-0.05,0.9,1725922000.0,-1509333000.0,-80.9075137417,-75.3421554311,199.780541379796,2024-12-31,HKD
00107,四川成渝高速公路,9.14,153.82,8573129000.0,1515006000.0,-16.3384956184,4.5230353369,7.858806186708,2025-12-31,HKD
00108,国锐生活,-63.32,69.42,296178483.08,-99023621.48,5.7729092276,88.0638126687,-5.19026653411,2025-12-31,HKD
00110,中国长远,-7.89,1.14,56357315.12,-13077722.38,42.9985790897,54.0509663292,87.502266271832,2025-12-31,HKD
00111,信达国际控股,5.42,4.36,205835709.02,72645984.6,32.571072885,678.229317852,8.058351158958,2025-12-31,HKD
00113,迪生创建,9.69,24.13,1756354427.55,219798924.15,3.5082798756,25.7181382946,6.89053660832,2026-03-31,HKD
00114,HERALD HOLD,8.11,4.05,649399162.32,30338036.25,-1.073049764,328.5366701425,5.680846173918,2025-03-31,HKD
00115,钧濠集团,-2.01,1.65,219129300.98,-74124555.74,2.6390716289,67.3483434855,-39.70314680832,2025-12-31,HKD
00116,周生生,4.0,68.78,20273839602.82,1551245124.42,5.9980750875,113.1953211409,12.772069382134,2025-12-31,HKD
00117,天利控股集团,35.94,53.1,678985000.0,133449000.0,23.9025983624,187.0128515261,22.967087718755,2025-12-31,HKD
00118,大同机械,14.68,1.97,1866326195.66,12095019.02,10.7727005169,69.5921985816,1.075394459201,2025-12-31,HKD
00119,保利置业集团,29.88,74.51,48381678000.0,225220000.0,20.3270444281,23.1605483767,0.66310752052,2025-12-31,HKD
00120,COSMOPOL INT'L,-0.22,1.02,29625616.0,-409248982.0,-91.1087015451,0.0,-85.049272641952,2025-12-31,HKD
00122,鳄鱼恤,-1.28,1.39,83353657.7,-97547760.0,-3.1931521363,-219.1677995153,-7.723175641104,2025-12-31,HKD
00123,越秀地产,285.26,173.9,86457288000.0,55062000.0,0.0656546655,-94.7058569018,0.100041492273,2025-12-31,HKD
00124,粤海置地,-0.88,3.89,7741837327.5,-533124701.78,26.8082440245,57.3205889009,-17.871175327351,2025-12-31,HKD
00125,新兴光学,-1.87,0.78,764542507.08,-29758499.01,17.9588890329,-13.6858804865,-4.959657697951,2025-03-31,HKD
00126,佳宁娜,-3.38,1.92,532953704.43,-124754619.21,-12.7421976986,45.9792207792,-4.463735594649,2025-03-31,HKD
