代码,名称,PE_TTM,总市值_亿,营业收入,净利润,报告期,币种
600150,中国船舶,22.93007266,2592.576533716,151977991216.09,7848378198.33,2025-12-31,CNY
002916,深南电路,70.49832506,2562.276263752,23646977088.98,3275738151.27,2025-12-31,CNY
600487,亨通光电,78.21935078,2525.585671168,66854854380.79,2680269338.43,2025-12-31,CNY
300408,三环集团,87.6957872,2522.6854894473,9007153894.11,2618384303.84,2025-12-31,CNY
002938,鹏鼎控股,66.48418833,2468.17654077,39147009392.27,3737843458.4,2025-12-31,CNY
002463,沪电股份,56.77019781,2442.2097648067,18945220585.0,3822306272.0,2025-12-31,CNY
601816,京沪高铁,18.28672201,2441.391400563,43062041486.98,13171912357.24,2025-12-31,CNY
000338,潍柴动力,21.12399537,2388.1532720097002,231809281106.82,10930504451.02,2025-12-31,CNY
600930,华电新能,37.07146355,2373.5428571266,38980388748.0,7262870120.0,2025-12-31,CNY
600188,兖矿能源,24.26860489,2318.51281662,144932859000.0,8380948000.0,2025-12-31,CNY
688808,联讯仪器,827.41733615,2260.72000734,1194068403.51,173651557.89,2025-12-31,CNY
300433,蓝思科技,65.50574688,2252.966603316,74409731699.21,4017827408.8,2025-12-31,CNY
002379,宏桥控股,11.23354911,2213.9869825198,156720854229.71,17863539928.79,2025-12-31,CNY
000001,平安银行,5.09258884,2192.868756374,131442000000.0,42633000000.0,2025-12-31,CNY
601919,中远海控,8.69856251,2179.0376014281,219503805222.7,30868147821.38,2025-12-31,CNY
301308,江波龙,40.05477614,2177.918064036,22766169990.55,1423298162.88,2025-12-31,CNY
002142,宁波银行,7.20762726,2169.279575172,71969000000.0,29333000000.0,2025-12-31,CNY
601898,中煤能源,12.1781995,2162.48800054,148056698000.0,17883577000.0,2025-12-31,CNY
600919,江苏银行,6.12350873,2161.7860217414,87942367000.0,34501004000.0,2025-12-31,CNY
000725,京东方A,36.29607209,2159.6843261312,204590222888.0,5856966754.0,2025-12-31,CNY
000651,格力电器,7.39027362,2156.541210285,171118161275.41,29003103411.66,2025-12-31,CNY
